teaching,teaching.1,coursecontent,coursecontent.1,examination,Examination,labwork,labwork.1,library_facilities,library_facilities.1,extracurricular,extracurricular.1
1,"maintained punctuality, good lecture delivery",1,fully knowledgeable,1,exam pattern is good and good paper checking.,1,having good material in labs.,1,good facilities,1,increasing confidence
0,average,1,good,1,Excellent ,1,too much good,0,average,0,average
0,average,1,good,1,good,1,good,1,better,1,best
1,good,1,well planned,1,good,0,average,1,excellent,1,good
1,good,1,good,1,good,-1,it is difficult to understand experiment in 1 hour,1,good,1,good
1,good,1,good,1,good,1,good,1,good,1,good
1,good,1,ok,1,good,1,good,-1,some books are not available. So please provide,1,ok
0,average,1,good,1,good,1,good,1,there are doing there job good,1,good
1,good,0,average,1,Excellent ,1,lab work is also good,1,all are hardworking and punctual,0,average
1,"it is quite good , depending on teacher and their experience",1,content is very knowledgable and gives us huge knowledge of every subject,1,"examination pattern, marks, paper checking is good.",1,lab work is quite good,1,Excellent,1,extracurricular activities are good.
1,"it is quite good , depends upon teacher and their experience",1,"content is enough, we donot need more.",-1,"too many examination, we are frustrated",0,lab activities are good but not satisfactory in explaining point of view.,1,library is awesome and rich,0,"good it is, but teachers do not consider the new ones."
1,the way of teaching is good but the time more than enough,0,good quallity content but some teachers donot upload ppts on time,0,too much examinations,1,helps in improving skills,1,they are good,1,it is good
1,good teaching delivery,1,course content is good,0,average,1,lab work is nice.,1,library facility is good,1,extracurrcular activities held in university is good.
1,"good, teacher is delivery the lecture in the best way they can",1,the content of the course is knowledgeable,1,examination including exam pattern is good in some ways.MCQs shouls given to students for the preparation of exams.,1,practical work including evaluations are good so that students can learn about practicals.,1,library facilities are good for students.,1,"super, the extracurricular activities held in university. So that student can show the efforts in other fields."
0,good and qualified teachers but few lacks in interaction with students and fails to describe a topic,0,subjects are appropriate but much depth is required as syllabus includes only basics not the details,-1,the level of examination should be raised. Questions with reasoning must be included,1,laboratory provides us a good knowledge about practicals.,1,very good library facilities. Issuing time of book must be increased,1,good and ample number of extracurricular activities take place
0,average,1,good,1,ok,1,good,1,good,1,good
1,"very good teaching facilities, lecture given are fruitful and teachers are punctual",-1,some courses are irrelevant as they are not related to my stream.,1,fair marking scheme and adaptable pattern,-1,practical work insome labs are not upto the marks,-1,more books should be provided and the issue period should be increased,0,they are good but they should give exposure to more students and not the same.
0,interaction is good but not with mostly male lecturers.punctuality is maintained by everyone but lecture delivery not peak quality.,-1,there are many courses which are irrelevant to the branch. some topics are not covered. There is no proper material for any course,0,pattern of examination is good but paper checking is not at all going in a good way.,0,labs are good but experiments are not very informative,1,very good library facilities. Issuing time of book must be increased,1,excellent
1,all things are good,1,not too bad,-1,there should not be negative marking,-1,the labs are not practically built,0,never went there,0,I donot participate
1,all things are good,1,not too bad,1,all things are good,1,good,1,they are good,0,I donot participate
1,all activties are good,1,course material is perfect,-1,there should not be negative marking,1,practical work is good,-1,book issuing time should be increased for 2 weeks,1,all are enough
1,all activties are good,1,not bad,-1,there should not be negative marking,1,good,1,good,1,all activities are good
1,good,1,good,1,not bad,1,super,1,excellent,1,good
1,All is good. no other university is so serious about the concept of practicals.,1,IP is provided to the students which is very helpful for the students.,1,All is good .,1,This is the best in our university because there is no other university which takes seriously for practical work.,0,Really our library provides very good facilites for students and teachers but fine  system was not good it was directly increased upto 10.This is not a good thing.,1,More than best
1,"lecture delivery depends on teacher's knowledge, punctuality is good",0,depth of course is less on the other hand knowledge and material is good,1,"I like it , i am satisfied all these work",-1,"some time lab is not proper working , some teacher's practical knowledge is less on the other side evaluations is not that much good   ",1,Its good and proper design,1,Its upto mark and very efficiently held in our university
1,Good,1,Good,1,Good,1,Good,1,Good,1,Good
1,way of teaching is average,-1,content does not provide deep knowledge,1,excellent ,1,satisfactory,1,Excellent,1,provides good platform to interested students
-1,not so good,0,average,1,quite good,-1,very poor.no equipments are there,1,good,-1,no comments. Because when you participiate you get reappear or backlog and no time is given for exam preparation
0,average,-1,sometime it is irrelevent with the ongoing courses.,1,good,-1,poor,0,average,-1,"the activities are very good but no time is given to students for participation, so its of no use"
1,good,0,average(in one term there should be only two major subjects based on numerical),-1,very poor,-1,very poor.no equipments are there,1,average,0,average
1,the staff is highly punctual ad interactive and encourage students to participate in the class,0,some of them are very helpful and knowledgeable and some are just formality,1,exam pattern is good and good paper checking but paper checking can be improved,-1,lab practicals and evaluations are below average and need lot of changes and improvements,1,library contains all the books regarding courses and other materials and very cooperative library staff,1,lot of activities and students get exposure in games.
1,"staff and faculty members are always available for interaction, very punctual and delivery of lecture can be improved",0,"very knowledgeable, some subjects do not have dedicated material like books available",1,"exam pattern is good, very well marks distribution and paper checking varies from faculty to faculty.",-1,lab practical work can further be improved so that it can meet industrial standards,1,all the books are easily available and accessable and the limit of book issued need to be increased,1,too many activities are conducted and student get ample amount of opportunities to participate
1,good delivery,1,optimum content,1,all excellent,1,excellent work,1,all are good,1,they are going excellent
1,good,1,good,1,good,1,good,1,good,1,good
1,"our university is good in terms of lecture delivery,interaction and punctuality",1,very good,1,Excellent ,1,good,1,library facilities are good . Every book is available in the library,1,good
1,good,1,good,1,good,1,good,1,good,1,good
1,very good,1,very good,1,good,1,very good,1,very good library facilities. Issuing time of book must be increased,1,excellent
1,good,-1,it is not appropriate,0,marks distribution is good but paper checking is not that well,-1,its hard to find a computer working in lab. Students cannot save data in one single PC,-1,"as per libraries, few books are not available and in computer library there are hardly 5 PCs working",0,not much interested
1,"interaction satisfied, lecture delivery good,punctuality always on time",1,Satisfied knowedgeable and proper course material,1,satisfied,1,good,1,good,1,very good
1,Excellent but it depends upon teacher,1,"Good, but there should be at least one a practical subject in every semester",1,Excellent,-1,"Not good, becouse in lab teachers donot teach us how to work on live projects or how to make a live project. So i have ovserved that whatever teachers have been teachig us in lab that will not usefull in our future life.",1,Excellent,1,Excellent
1,good,1,Yes,1,Good,-1,not good..the timing is too much for labs and syllabus is also so vast.we don't get propr revision,-1,books are less,-1,bcoz of lectures..we don't get time to participate..
1,good,1,good,1,good,1,good,1,good,1,good
1,Good,1,Good,-1,Very Tough,1,Good,1,Excellent,0,Average
1,good,1,good,1,good,1,good,1,excellent,1,good
1,Good,1,Good,1,Excellent,1,Good,1,Good,1,Good
1,Good,1,Good,1,Good,1,Good,1,Good,1,Good
1, very good.,1, good.,1,good.,1,satisfactory.,1,good.,1,good.
1,it is ok,-1,it is not very deep,1,it is good,-1,i hate it,1,i love it,1,very good
-1,some teachers aren't doing their jobs in very well manner,1,course contents are very much relevant to our courses,-1,bad,1,very good,-1,i think library facilities are only for hostelers ,-1,"i also want to participate in that activities but i can't take part in those activities because I'm a day scholar 
"
1,Some of the teachers are not well experienced but they are interactive and helpful and punctual.,0,The course structure is good and follows todays technology. Some subjects portion are too vast and are difficult to cover in 1 sem,0,Examination pattern is good but mcq paper checking marks are not correct sometimes.,-1,Practical work is in interesting but different teachers evaluate in their own way. Some of the teachers in some section  give marks without taking viva and some does not give marks accordingly ,-1,Capacity of library is less compared to size of university.,1,Extracurricular activities are good and provide a  good platform.
0,not all the teachers are teaching well but it's fine,1,good,-1,very strict,1,good,1,library has providing excellent facilities,1,good
1,EXCELLENT,1,GOOD,1,It is a good way in pattern,1,good,1,It will provide us various books to increase our knowledge or to understand the  concept because it is good,1,It is good 
1,"The faculty is good ,interaction between student and teacher is also good",1,content of the course is good ,1,good,1,good,1,good,1,good
-1,not good,-1,syllabus is not in debth,1,good,1,good,1,good,1,good
1,Good,1,Excellent,-1,Not good,1,Good,1,Good,1,Good
1,Good,1,Very good,1,Very good,1,Good,1,Good,1,Excellent
-1,some of our faculty member are not so experienced that's why most of the time we are facing problems subjects like CSE(c++),1,as per the courses all the sub are providing  worth knowledge,-1,as per the exam pattern maths exam always have to be subjective rather than objective.,1,as per the lab evaluation we r satisfied with  it,-1,duration of issuing   books from library should be changed from 1week to 2 week that would be great.,1,that's  great
1,good,1,very good,1,all good,1,good,-1,absolutely fine all books are there but the thing is that the time limit is very less we have to return the book that we have issued  very fast,1,best
1,its to good ,0,i dont know,-1,its very bad thing not sowing answer of mcQ in exam we dont jiged what is rigth and rong where mak mistacvk ,1,lab and practical work are litial good,0,i dont think about ,0,hahahah
1,everything is good ,1,regarding the courses everything is good,1,coming to the examinations it is good,1,good,,very good,1,very good it is a good oppurtunities to many students
-1,"everything is good but when coming to some lectures who dont have a good grip on subject,they dont behave well with students and they dont even teach all the concepts in the subject. ",1,coming to the courses these are very well planned... and it all depends on the lectures.,0,In CA's its in the hands of lectures... while in mte's and ete's its good.,-1,not very good... must be improved.,1,very good.,1,there are many oppertunities for students .. its all upon students about how they utilize them.
1,excellent,1,good,0,i think mid trem should be also subjective ,1,good,1,good,1,excellent
0,"everything was good regarding to university but, some lecturers don't have grip on the subject and lag in the teaching",1,good,1,exam pattern and marks distribution are good,1,very good,1,very good,1,excellent
0,normal,1,good,1,good,-1,bad,1,good,1,good
1,good,1,good,1,very good,1,good,1,good,1,"good
"
1,good,1,upto the mark,1,good,1,good,1,good,0,average
1,teaching activities of our university is good. i am satisfied with it.,1,It is so good.,1,Examination pattern and marks distribution all the terms are good.Ca and MTE also give the chance to students for improving.,1,With the help of practicals students are able to understand all the concept.so it is also good.,1,It is excellent.,1,It is excellent.
1,GOOD,1,GOOD,1,GOOD,1,GOOD,1,GOOD,0,Poor
1,everything is good for faculty,1,excellent,0,in examinations please try to give question papers,1,very good,1,good ,1,some of the universities not conducted any extracurricular activities but in our university doing these it is good for our feature 
1,satisfactory,0,content of course is ample but depth must be more,1,very good,1,good,-1,library facilities need to be improve by bringing some more books,1,good
1,GOOD,0,COURSE IS GOOD NO PROPER COURSE MATERIAL,1,GOOD AND STRICT,1,LAB IS VERY GOOD,1,EXELLENT,1,IT IS VERY MUCH USEFUL AND WE CAN PARTICIPATE IN OUR INTERESTS
1,all are good,1,excellent,-1,not much good ,1,good,1,excellent,1,very good
0,good but not good . sir improve the subject,1,good,0,exams conducting is very good .but paper correction is very bad,-1,not good...... must be improve,1,good ,1,excelent
0,"The university is good but it also has a long way to go. More teachers should have their PhD and college fests related to academic curriculum must be improved to a great extent and must be managed properly.The interaction is good, lecture delivery needs more lucidity. The punctuality is top notch.",-1,Content of the courses should be changed a bit. More of industry oriented feature like Linux and GitHub must be implemented. Proper detailing and advanced knowledge is required and is to be instilled in the students.The course material is good.,0,The examination pattern is good. More of logic based and subjective questions to be asked which is based upon conceptual learning. Paper checking must be done in a more lucid manner because many doubts arise with the checking of OMR sheet.,1,Lab evaluations are good.,1,Library facilities are the strength of this university. It is awesome.,1,Quite a lot of events are organized and students have a all round growth which is a nice thing.
1,"our university is good in punctuality,lecture delivery but it is not good in terms of interaction",1,"good it was knowledgeable,depth of the course is good,there is but proper course materials in only for some  subjects",1,all these are good,0,it was good but it can be improved,1,good,1,very good
0,average,0,average,1,the best pattern of examination are in lpu .,-1,"most of the teacher don't even bother about the practical performed by students.They give marks just by seeing face or something like that.
",0,Almost each and every books is there.But the time limit for keeping book is too much shorted. ,-1,Activities are not up to the mark as  advertisement.
-1,"interaction is very less ,when it comes to lecture delivery its fine but the co cordination not there between the lectueres",1,good,0,mid term percentage should be increased so that students get more choice to get success in the examinations,-1,good  but marks are not given properly ,-1,"waste ,library is not the good place to study",1,very well
1,good,1,good,1,very good,1,good,1,good,1,"good
"
1,All lectures are giving their best to teach the students,1,Excellent,1,Good,1,Excellent,1,Good,1,Excellent 
-1,our university is very good but in terms of interaction of teachers wd students is not at all fair because they interact wd only students understands his/her teaching they don't make remaining students to understand the topic ,1,very good and you can also increase the standard of Courses,1,"good
",0,practicals are good but evaluations are not because they don't give enough time to work ,0,It's good but we don't find the books because their are much less number of books,0,It's good but we don't get sufficient time for participating in that activities
1,The university consists of a whole world in itself.It is diverse and manages to conduct all events properly.I love being the part of this university where we get equal and all opportunities in all respects and fields.,1,The courses available in the university have got a scope and the teaching of these courses goes on with the point of view of bringing out the best from the student by indulging them in different activities and projects.,1,The examination system of the university is very impressive.The sitting plan of he students is made in such a way that no 2 students of same class give the exam in same room or even sometimes same blocks.Through this students also get to know and visit different blocks of the university.The checking is also fair .,1,They are conducted in proper way.,1,perfect,1,unbiased
1,"teachers are pretty interactive,But it all depends on the student to gain as much as knowledge he can from the teacher.Teachers are punctual and very helpful during exams time.",1,content of course is more than enough to get the basics of that particular subject.,1,Everything is pretty well organised,0,Teachers are supposed to let the students know the actual use of the instruments used in the lab.,1,They are good.,1,LPU gives the best opportunity for the students to show their talent.
0,teaching delivery is good .but it is better to reduce there speed of  lecture delivery to understand the student better,0,courses are also good .but lt of subjects in cse departments at 1st year it feels like burden upon us,1,good ,1,excellent ...they  work hard..their way of teaching is also pretty good,1,excellent,1,these are very usefull to students .excellent
1,"overall rating on this activity is 4.5/5 .very nice teaching and interaction between students and lectures was good, every time there will be new and fresh style in  delivering the lectures ,thanks.


 ",1, my rating in this is 4/5,1,very good 5/5,0,average 3.5/5,1,it is very nice and timings of library is good 5/5,0,"there are lot of extracurricular activites held in university but so many of them are unknown to us ,the problem is there is no such ad's viewed to us
my rating is 3/5"
0,"excellent, but reduse the speed of teaching  ,up to understand the students",0,"good,they work very hard for us",1,good,1,good,1,excellent,1,these are very use full to the sudents forphysical activity and improvement of knowledge
0,"teaching is ok but the interaction with the students need to improve, i mean they have to focus on dull students more  than intelligents....",1,good,-1,for some subjects like maths and english(passage writing) the time duration neds to increase,0,"In labs,the lecturers has to interact with each student to improve their knowledge, in all the ways,before giving us the work they must explain about the experiment once so that we will come to know how to perform n take precautions while doing,........
",0,"good but there is more need of keeping books of general topics about social,polity,gk,...etc other than related to subject so that we will get some knowledge about country related issues..............",1,good
1,Interaction is good but it should b more ...rest is too perfect,-1,syllabus is more which required time ..it should b less so that student can proper concentrate getting the knowlegde instead of just covering the syllabusgood,0,"Pattern is good ...marks distribution that includes ca,mt,et ,nd attendence all that is  little complicated ",1,Good,1,Good,-1,Sometimes study burden is that much that we can not participate in these activities ...there should b one activity complusory for every student like all other courses 
1,"teachers are good in subject,and punctuality",1,good,1,good,1,ok,1,good,1,excellent
0,Everything would be fine if there are less number of students in our btech CSE.,-1,when compared to other universities we need better material and exposure.,1,every thing is fine.,1,its fine.,0,Books are heavily outnumbered when compared to number of students this is the only problem with library.,1,it helps in building up university's reputation.
1,good ,1,good,1,good,1,good,1,good,1,good
0,faculties are doing quite well but need more senior lecturers.,-1,the content of the course should be increased with the depth.,1,Probably the best part of university is its examination and its pattern.,-1,More number of lab/practicals should be there to enhance practical knowledge.,-1,Insufficient books ,1,It was quite great and unique.
1,satisfied,1,content provided by you is excellent so that we learnt more and more about that particular subject,1,"I have never seen this type of examination,,,,,,,very GOOD  pattern",1,Here we r able to do every thing by our own with u r valuable support ,1,"I have no words to say about our library facilities,,,,,,,, SIMPLY AWESOME",1,EXTRAORDINARY
1,"examination department is not good, teaching is quite good, I cant get extra time for extra knowledge, interaction is good


",1,content of course is appropriate ,-1,"examination checking sucks here , don't knw why I get low marks even if 4 qustions are wrong . answer key of exam is absurd, discrepancy system is not advantageous, answers of exam not right, omr should be uploaded


",1,pretty good,,good but timings should be 24hrs,1,they are good
1,Well and Good,-1,The content of course should be increase with depth,1,It is best,1,Very Good,-1,insufficient books,1,it was quite great and unique
1,Good,1,Good,1,Good,1,Good,0,"Library facility is very good but there is a problem collection of books, Available books are very less for some subjects  
",1,Very good
1,good,1,good,1,good,1,good,1,good,1,good
0,university management is extordinary but some of the faculty is very bad,-1,In my opnion very less content is their in our syllabus..it will be good if there is more syllabus and depth included in our syllabus,-1,"examination pattern is good but,,there is blunder mistake.that is we ha no alternate to check the mistake where we have done morever no question papers also not given for discussion.so i suggest to..provide option for checking mistakes in the MCQ exams such as midterm.",-1,There are no sufficient lab equipments in the labs and the avilable euipments are also not perfect.,1,good enough.,1,"it is relly awesome,extirdinary and marvellous but no time to attend"
1,good,-1,some of the faculty are not uploading ppts,1,good,1,good,1,good,1,good
1,good,1,ok,1,ok,1,good,-1,rough handling,1,good
1,good,1,good,1,good,1,good,-1,books are not available,1,good
0,"some lectures are excellent,but not everyone",1,excellent,1,excellent,1,super,1,librery facilities are excellent,1,nice
1,It is very good learning in this university,1,it is good learning these courses,-1,time not sufficient,0,it is good leaning in lab but the lab instruments are not properly working,-1,Very rough handling,1,good
0,its  booring,-1,its very tough and very diffcult to understand,1,good,1,very bad,1,good,1,that is only good in this university
1,good,1,Nice,1,exam pattern is good ,1,good,1,library facilites are good,1,good
1,Good,0,yeah! well some of the faculty are not teaching well but the schedule of the university are superb ... and university asked feedback from us .that is really helpful,1,excellent!!!,1,good,0,yeah quite well but ... some of the books are not available,1,excellent..... u r the best in providing facilties and etc .. for extra curricular activities
0,teaching is good but some lecturers are showing partiality between south people and north people,1,good,0,every thing is excllent but paper checking is not good,1,labs are very interesting it is helpful to know the knowledge,1,library facilities is good,1,extracurricular activities are also good
1,excellent,0,The content of the courses are good but depth of courses are not enough to get the good concepts.,-1,We don't get answers key and even the question papers for our mcq exams.There should be some means by which we could recheck our answers and get to know what mistakes we have made.,-1,According to me students are doing lab only for marks .,1,good,1,excellent
0,"teaching is good but some teachers are not able to interact properly and are not able to clear the concepts properly, teachers are punctual. 
",1,content is sufficient for us ,0,  exam pattern is very nice but paper checking is not at all good .,1,lab practical work help us to learn the things properly and evalution is also very necessary as it helps us to retain concepts,1,library facilty is good,1,university offers alkot of activities which is excellent on their part as students are able to explore themselves
1,good,1,excellent,1,good,1,good,1,super,1,super
1,"Everything is very good. Interaction part is something like teachers mostly interact with each and every student, lecture delivery is very good and punctuality always maintains.",,"Content of courses are good, these are very knowledgeable, depth of course is also there but sometimes proper course material is not there.",0,Exam pattern and marks distribution are excellent but sometimes there are some errors in paper checking.,1,Lab or practical work is excellent and yes including evaluations also.,1,"Library facilities are good, it maintains silence there and makes good environment to study but sometimes it goes very strict which is not required according to me.",1,Extracurricular activities are good. It helps people to know their talent and build up their skills.
1,good,1,good,1,good,1,good,0,uncertain,1,good
1,"I am very much satisfied with teaching faculty interms of iteraction,lecture delivery, punctuality etc",1,"I like communication classes,courses are good",0,exam  pattern is very good but if you give question papers to students it is helpful ,1,lab is very much helpful,1,I like reading books in Library,1,I am really enjoying 
-1,they are showing partiality between north indians and south indians,1,they are giving good knowledge for us,1,its better,-1,in lab also they are showing parilaty,1,i felt its better because there is no problem from library facilities,1,i felt happy because it encourages our talents
1,good,1,Excellent,1,Excellent,1,Good,0,Average,1,Excellent
1,"Interaction is satisfying, Lecture delivery is Good, Punctuality is Excellent

",1,"Knowledgeable is Good, Depth of course is satisfying, proper course material is also good

",1,"Exam pattern Very good, Marks distribution good but sometimes disappointing, paper checking OK

",-1,Lab evaluations are very strict,0,Excellent     but sometimes lack of books especially during exam times,1,Outstanding
-1,staff is showing partiality between north indians and south indians ,1,its good,1,yeah its obviously good,1,good,0,libary is giving a lot to us  but we are not getting it,1,better
1,excellent university  the mode of teaching is completely different than any other university in india. lecturers are very friendly with every one they interact just like friends and they are very punctual,1,every thing is good subjects have a very good depth almost all the  books are available   in the library and more than that 4/5,1,exam pattern is completely different the entire exams are objective oriented resumbling  the education in abroad my review is 5/5,-1,the lab evaluations are very strict ,1,excellent,1,excellent  simply superb
0,lecture delivery and punctuality was good but the interaction with students was not good.,1,good,1,everything was good.,1,labs n practicals are good.,0,"i've never went to library in lpu.so,i don't know about that.",-1,"before coming to lpu i thought sports were very good n encouraging.but, there are many politics in sports especially in cricket."
0,punctuality and lecture is good here but interaction isn't good.,1,Its nice .,1,everything is good.,1,practicals are pretty well.,0,I don't know abt that bcoz i didn't go to library till now.,-1,not every one is getting opportunities here only recommended students getting.
1,good enough,-1,not good ,0,"excellent but checking procedure is not exceptable since we  fail to know our faults in mid term..
",1,good,1,facilities are good to overcome one's need,1,it seems to me very good since it is a good source of interaction with other and to built a leadership quilities and to overcome our faults.
1,"In this university there is good interaction with the students, Teachers in this university can deliver the lectures effectively, There is good punctuality in this university

",1,"The material provided in this university is depth of course, The courses in this university is knowledgeable
",1,"Excellent exam pattern, paper checking in this university is easy

",1,There is good evaluations in lab regarding practicle ,1,good,1,They are sportive
1,Very good indeed. ,1,The depth of course is very much  deep. According to me its very essential,0,I don't like the -ve marking system. appart from that everything is great,1,Very good,-1,Required text books are not available to every student,1,One of the best things I like about this university. The best of all.
1,"Teaching is excellent,but lecture delivery is not up to the mark.Punctuality is good",0,Some subjects are good and predictable.Remaining courses are not satisfactory,-1,"Returning the question paper after the exams to be expected,because to clear and clarify the doubts regarding particular subjects",1,Its Good,1,Its good,1,They are extraordinary
0,interaction of some faculty was good but not all faculty..,0,depth  of course was good ....providing a basic knowledge not so deep in subjects....at least they should provide deep knowledge and syllabus in core subjects...,1,examination pattern was excellent,0,lab and practical works are good..with a little draw back of faculty in connecting  the lab practical to the outside  world..,0,library facilities are excellent...but only limited books are available ..so books should be increased.,1,extra curricular are so good. university is providing many pathways to many students....apart from education
1,"good, and also like the teaching style",1,I like this very much because every subject is linked up with real life situations and every thing in the subject is use full,1,good,1,I like it soo much,1,good ,1,good
1,"Interaction between students and teachers is good ,The lectures delivery is fine, punctuality is good
 

",0,"depth of the course are depended on the level of student intake, course material is delivered after the class in UMS 

",1,"Exams are conducted upon the the basis of the revised chapters upto that point, marks distribution is appropriate, paper checking is good

",1,Lab is good the Prof explains everything before the lab begins and the Lab Asst helps us during the experiments ,-1,The library has insufficent number of books for all the students,1,good they are knowledgebale and helps us interacting with other students
1,not bad,1,good,0,very hard papers and main concept papers,-1,very strcitly they evaluted marks ,1,very good there we can find several course books and we can find several reference books also...,1,in this university there is lot of events and lot of extra curriclar activities.... 
1,Its Quite Good,1,Pretty Good ,1,Good ,1,Good enough,0,"Library is vast and has got wide variety of books But I think more number of specimen copies of books should be made available
",1,Excellent
1,very good indeed,1,Is good,-1, Not so good,1,very good,1,good,1,The best
1,not bad..,-1,not good enough.. we want something more.,-1,strict paper correction.,1,nice..enough,1,fine  ,1,good..
0,teaching is good some lecturers are showing partiality between south people and north people,1,good,0,super but paper checking is not good,1,labs are interesting and helpful toknoe the knowledge,1,good,1,excllent
0,I WAS A STUDENT OF A BOARDING SCHOOL .....(jnv) I STUDIED FOR 7  YEARS THERE RESIDING IN HOSTEL ..NOW LIVING IN LPU IS SAME LIKE THAT..AND STILL MORE SAME AND PUNCTUALITY IS SHOWN HERE BY BOTH TEACHERS AND STUDENTS...AND ALSO BY THE STAFF..          SECURITY IS ABOVE 90%(IN CASE OF  STUDENT IS WELL MANURED)  ....CLASSES REGULAR ....SPORTS DAILY.....PARTICIPATION WELL/.......QUALITY BELOW AVERAGE,-1,LESS TIME FOR STUDY ...LESS TIME FOR PAPER ATTEMTING...LESS TIME FOR EVERY THING ....LESS KNOWLEGE.....LESS DEPTH OF COURSE .....BUT PROPER COURSE MATERIAL ACCORDING TO EXAM,1,NICE TIMING..,-1,NOT GOOD ...,0,VERY NICE....BUT BOOKS ARE NOT AVAILABE EVERY TIME,-1,VERY HIGH......NEED TO TAKE DOWN SOME ACCITIVTIES ................................NOISE POLLITION IN THE UNIVERSITY  ALWAYS A BIG PROBLEM.
1,All terms are good regarding the university activities,0,knowledge is maximum gained by reading books also the teachers explain depth if we are interested to know about it.,0,That's good to have a negative marking pattern in exam but the time is not sufficient to do all the questions.,1,Labs helps to know how the work is done.It thought me a good lessons.,1,They are good.,1,Yes.
1,GOOD,-1,HAVE TO IMPROVE,1,EXAMPATTERN IS GOOD AND MARKS DISTRIBUTION IS ALSO GOOD AND PAPER CHECKING IS VERY HARD ,1,IT IS GOOD,1,IT IS ALSO GOOD,1,VERY GOOD
1,intraction is good and leacture delivery also good and then punctuality is also is good,0,every one can tell depth of course but some one only give notes,,exam pattern is good and marks distribution is also good but paper checking is too hard,1,all labs and practical going on well,,good ,1,they all are held in super
1,all the given terms are good regarding the university ,1,we are getting maximum knowledge ,1,all are good ,1,not bad,-1,library facilities are not good.They are not following the rules( they are using phones in library).,1,good
1,All the terms are good regarding the university activities.,1,Knowledge is maximum gained  by reading books and also teachers explain the concept in depth.,0,The examination pattern is good .But time is not sufficient for those questions.,1,Labs are upto the mark.,1,They are good,1,the extracurricular activities held in university  are very enjoyable and good
-1,Some of the teacher are un experienced. Also they are unfair and baised. Infact many of the teachers are having few or no experience about the subject ,0,Its fine but it should focus more towards practical knowledge rather than content based. It would be helpful for us.,1,MCQ pattern is quite good and efficient way for evolving students.,-1,Our labs do not have all facalities. ,1,We have a good library with all facalities.,1,Our university has lot of extracurricular going on and it helps us a lot.
1,IT IS GOING GOOD,-1,HAVE TO IMPROVE,0,PAPER CHECKING IS VERY HARD REMAINING IS GOOD,1,ALL PRACTICAL WORK IS GOOD,-1,"THEY IS NO PROBLEM WITH THEM
",1,IT IS THE BEST THING IN THIS UNIVERSITY I LIKE IT
0,teacher.... are punctual but they should also give us the some practical knowledge other than theortical,0,content of courses are average,1,<title>studies exams examination pattern doesn't good,-1,"not satisfactory, lab work must include latest technologies",0,library facilities are good but number of books are less,1,extracurricular activities are excellent and provides best platform to students.
1,not Good ,-1,Not good,1,Good,1,Good ,-1,Not good ,1,Good 
1,Excellent lectures are delivered by teachers and all teachers are very punctual.,1,All courses material provide very good knowledge in depth .,1,"Exam pattern is up to the mark and the Cgpa depends on the various marks distributions like ca, mte etc which is very nice as compare to other institutions. Paper checking does not depend on length of ques but on the material which is the best part of it.",1,Lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth. ,1,Library facilities are excellent in terms of good techniques that are used over there.,1,Extra curricular activities also help students to divert their mind from their study for some time. University plays an important role in this task.
1,Good,-1,"Content of course is perfectly in line with the teaching philosophy that is being perpetuated here i.e cramming,rote learning.",-1,Again the university tests students of their ability to memorize stuff. Questions should emphasize more on concepts rather than testing brain's cramming storage house.,1,Good,0,"Its the best thing i have seen in this university,albeit the behaviour of library staff is unprofessional at times. They are whimsically rude.",-1,Complete wastage of time. Again this opinion is strictly personal and may not coincide with others.
1,teachers give us all the information required to improve the performance.,1,content of courses improves my knowledge,1,examination pattern is good,1,practical work provides detail knowledge of theoretical work,1,library has huge collection of books from different authors,1,extracurricular activities increases mental and physical abilities
1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
1,good and punctual,1,Good,1,Good,1,Good,1,Hardworking,0,No views
1,It is good,1,This semester university has provide best teachers ,1,I like the question pattern,1,Everything is going fine in lab . learning new things. That is good for us,0,I am satisfied with the facilities but few books are limited of  database distribution ,0,No idea about the extracurricular activities. 
1,Good,-1,Needs some improvement,1,Good,1,Good,-1,Its required some libral in rules,1,Good it provides a great platform
1,Good,-1,Needs some improvement,1,Good,1,Good,-1,Its required some libral in rules,1,Good it provides a great platform
1,It's good when compare with my Btech lectures and teaching activities.,0,Knowledge  and depth of the course  is good but while coming to the material it's not upto the mark.,1,"This university is far better than other university when coming to the exam pattern,marks disturbation and while coming to paper checking no biased corrections equal to all. ",-1,Lab and practical are not upto the mark. The topic which are practiced are almost already done in Btech.,1,Good,1,While coming to extracurriculum activities it's better than any other university which I had come around.
1,Good,0,"Knowledge,depth of course is good but course material are not upto the mark",1,Great,-1,Not upto the mark,1,Good,1,Awesome
1,way of teaching is good,1,course content is knowledgeable ,1,exam pattern is good and good paper checking.,-1,lab improves practical knowledge,1,good library facilities,1,ok
0,"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery sometimes is not upto the mark and punctuality is  fine. ",-1,Content of the courses is good but some courses need improvement. Course material is not upto the mark. ,0,Pattern and procedure of the examination is very good. Paper checking needed to be improved.,0,Sometimes systems at labs are screwed up .Otherwise everything is  at their respected desk.,1,Library facilities are very good. No issues ,1,This university is no1 in terms of extracurricular activities and in encouraging students to participate at their comfort levels. 
